056400;10070000;;Deutsche Bank Fil Berlin Gf P2;10883;Berlin;Deutsche Bank Fil Berlin;27700;;
049758;10070024;DEUTDEDBBER;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) F 700;10883;Berlin;DB PFK (Deutsche Bank PGK);21060;;
055916;10070024;;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) F 700;10883;Berlin;DB PFK (Deutsche Bank PGK);21703;;
056401;10070024;;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) F 700;10883;Berlin;DB PFK (Deutsche Bank PGK);21700;;
053102;10070100;DEUTDEBB101;Deutsche Bank Fil Berlin II;10883;Berlin;Deutsche Bank Fil Berlin II;27701;;
053103;10070124;DEUTDEDB101;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) Berlin;10883;Berlin;DB PFK (Deutsche Bank PGK);21701;;
055502;10070848;DEUTDEDB110;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) F 848;10623;Berlin;DB PFK (Deutsche Bank PGK);21848;;
053532;10077777;NORSDE51XXX;norisbank;10625;Berlin;norisbank Berlin;21431;;
024465;10080000;DRESDEFF100;Commerzbank vormals Dresdner Bank Filiale Berlin I;10877;Berlin;Commerzbank Fil I Berlin;28100;;
046513;10080005;DRESDEFFI26;Commerzbank vormals Dresdner Bank Zw A;10623;Berlin;Commerzbank Berlin Zw A;;;
046514;10080006;DRESDEFFXXX;Commerzbank vormals Dresdner Bank Zw B;10623;Berlin;Commerzbank Berlin Zw B;;;
053527;10080055;DRESDEFF112;Commerzbank vormals Dresdner Bank Zw 55;10623;Berlin;Commerzbank Zw 55 Berlin;28101;;
053520;10080057;DRESDEFF114;Commerzbank vormals Dresdner Bank Gf ZW 57;10877;Berlin;Commerzbk ZW 57 Berlin;28103;;
054940;10080085;DRESDEFFI53;Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3;10877;Berlin;Commerzbank ITKG3 Berlin;;;
055157;10080086;DRESDEFFI71;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4;10877;Berlin;Commerzbank ITGK4 Berlin;;;
055158;10080087;DRESDEFFI72;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5;10877;Berlin;Commerzbank ITGK5 Berlin;;;
044595;10080088;DRESDEFFXXX;Commerzbank vormals Dresdner Bank IBLZ;10623;Berlin;Commerzbank IBLZ Berlin;;;
055159;10080089;DRESDEFFI73;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6;10877;Berlin;Commerzbank ITGK6 Berlin;;;
000534;10080900;DRESDEFF199;Commerzbank vormals Dresdner Bank Filiale Berlin III;10877;Berlin;Commerzbk Fil III Berlin;28109;;
050474;10089260;DRESDEFFI14;Commerzbank vormals Dresdner Bank ITGK;10877;Berlin;Commerzbank ITGK Berlin;;;
052938;10089999;DRESDEFFI99;Commerzbank vormals Dresdner Bank ITGK 2;10117;Berlin;Commerzbank ITGK 2 Berlin;;;
023299;10090000;BEVODEBBXXX;Berliner Volksbank;10892;Berlin;Berliner VB Berlin;91001;;
044951;10090000;;Berliner Volksbank;15711;Königs Wusterhausen;Berliner VB Königs Wusterhs;91001;;
044952;10090000;;Berliner Volksbank;14979;Großbeeren;Berliner VB Großbeeren;91001;;
044970;10090000;;Berliner Volksbank;16816;Neuruppin;Berliner VB Neuruppin;91001;;
044974;10090000;;Berliner Volksbank;16515;Oranienburg;Berliner VB Oranienburg;91001;;
045010;10090000;;Berliner Volksbank;15344;Strausberg;Berliner VB Strausberg;91001;;
045019;10090000;;Berliner Volksbank;16792;Zehdenick;Berliner VB Zehdenick;91001;;
045734;10090000;;Berliner Volksbank;14547;Beelitz;Berliner Volksbank Beelitz;91001;;
046045;10090000;;Berliner Volksbank;14929;Treuenbrietzen;Berliner VB Treuenbrietzen;91001;;
046047;10090000;;Berliner Volksbank;15757;Halbe;Berliner VB Halbe;91001;;
046058;10090000;;Berliner Volksbank;16321;Bernau bei Berlin;Berliner VB Bernau;91001;;
047009;10090000;;Berliner Volksbank;16866;Kyritz;Berliner VB Kyritz;91001;;
047010;10090000;;Berliner Volksbank;16909;Wittstock/Dosse;Berliner VB Wittstock;91001;;
047021;10090000;;Berliner Volksbank;16775;Gransee;Berliner VB Gransee;91001;;
048909;10090000;;Berliner Volksbank;16761;Hennigsdorf;Berliner VB Hennigsdorf;91001;;
051684;10090000;;Berliner Volksbank;16225;Eberswalde;Berliner VB Eberswalde;91001;;
056636;10090000;;Berliner Volksbank;14612;Falkensee;Berliner VB Falkensee;91001;;
053669;10090000;;Berliner Volksbank (Gf P2);10892;Berlin;Berliner VB Berlin;81001;;
